Timestamp                     Simulation t   % complete   Est. completion
2024-08-27 02:50:07.200004       0.00*year            0   TBD
2024-08-27 02:50:27.235848       0.00*year            5   2024-08-27 02:56:47.944054
2024-08-27 02:50:46.333750       0.00*year           10   2024-08-27 02:56:38.550334
2024-08-27 02:51:05.543273       0.00*year           15   2024-08-27 02:56:36.163234
2024-08-27 02:51:24.630668       0.00*year           20   2024-08-27 02:56:34.359044
2024-08-27 02:51:43.521999       0.00*year           25   2024-08-27 02:56:32.184285
2024-08-27 02:52:02.360219       0.00*year           30   2024-08-27 02:56:30.814980
2024-08-27 02:52:21.182614       0.00*year           35   2024-08-27 02:56:29.791492
2024-08-27 02:52:39.918606       0.00*year           40   2024-08-27 02:56:28.807849
2024-08-27 02:52:58.848085       0.00*year           45   2024-08-27 02:56:28.472477
2024-08-27 02:53:17.775315       0.00*year           50   2024-08-27 02:56:28.199656
2024-08-27 02:53:36.785364       0.00*year           55   2024-08-27 02:56:28.126946
2024-08-27 02:53:55.654467       0.00*year           60   2024-08-27 02:56:27.831518
2024-08-27 02:54:14.588632       0.00*year           65   2024-08-27 02:56:27.681592
2024-08-27 02:54:34.005586       0.00*year           70   2024-08-27 02:56:28.242579
2024-08-27 02:54:53.889844       0.00*year           75   2024-08-27 02:56:29.351693
2024-08-27 02:55:13.053841       0.00*year           80   2024-08-27 02:56:29.422102
2024-08-27 02:55:32.455777       0.00*year           85   2024-08-27 02:56:29.764092
2024-08-27 02:55:52.501251       0.00*year           90   2024-08-27 02:56:30.782974
2024-08-27 02:56:12.687671       0.00*year           95   2024-08-27 02:56:31.842961
